country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","20-07-2026 15:00:00",21.755417,72.139056,CO,83,84,83
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","20-07-2026 15:00:00",21.755417,72.139056,OZONE,16,23,20
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","20-07-2026 15:00:00",23.221714,72.654328,SO2,4,6,5
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","20-07-2026 15:00:00",23.221714,72.654328,OZONE,3,5,4
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","20-07-2026 15:00:00",23.243639,72.68994,SO2,2,3,2
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","20-07-2026 15:00:00",23.163798,72.677768,NO2,21,30,27
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","20-07-2026 15:00:00",23.59315,72.372792,NO2,9,12,10
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","20-07-2026 15:00:00",23.59315,72.372792,CO,70,73,71
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","20-07-2026 15:00:00",22.410802,73.097923,NO2,NA,NA,NA
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","20-07-2026 15:00:00",22.410802,73.097923,NH3,NA,NA,NA
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","20-07-2026 15:00:00",22.410802,73.097923,CO,8,69,43
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","20-07-2026 15:00:00",22.248853,70.776774,NO2,6,62,44
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","20-07-2026 15:00:00",28.531346,77.190156,NO2,18,34,26
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","20-07-2026 15:00:00",28.531346,77.190156,OZONE,1,28,12
