country,state,city,station,last_update,latitude,longitude,CO,NH3,NO2,O3,PM10,PM25,SO2,hour,day,month,weekday,is_weekend,season,AQI,NO,NOx,Benzene,Toluene,Xylene
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-07-20 15:00:00,26.0881305,87.93840336,13.0,3.0,7.0,33.0,30.0,25.0,10.0,15,20,7,0,0,Monsoon,41.666666666666664,,,,,
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2026-07-20 15:00:00,26.63086,84.90051,13.0,3.0,3.0,59.0,0.0,0.0,3.0,15,20,7,0,0,Monsoon,3.75,,,,,
India,Bihar,Munger,"Town Hall, Munger - BSPCB",2026-07-20 15:00:00,25.376776,86.471523,7.0,3.0,2.0,3.0,0.0,0.0,12.0,15,20,7,0,0,Monsoon,2.5,,,,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",2026-07-20 15:00:00,26.11442,85.39813,20.0,7.0,22.0,23.0,50.0,44.0,9.0,15,20,7,0,0,Monsoon,73.33333333333333,,,,,
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",2026-07-20 15:00:00,26.1403345,85.3650192,24.0,2.0,3.0,31.0,43.0,39.0,12.0,15,20,7,0,0,Monsoon,65.0,,,,,
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-07-20 15:00:00,26.1209,85.3647,35.0,0.0,20.0,11.0,0.0,38.0,5.0,15,20,7,0,0,Monsoon,63.333333333333336,,,,,
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-07-20 15:00:00,25.586562,85.043586,36.0,9.0,23.0,11.0,31.0,39.0,6.0,15,20,7,0,0,Monsoon,65.0,,,,,
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-07-20 15:00:00,25.592539,85.227158,46.0,6.0,6.0,66.0,47.0,43.0,13.0,15,20,7,0,0,Monsoon,71.66666666666667,,,,,
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2026-07-20 15:00:00,25.610369,85.132568,29.0,0.0,3.0,60.0,0.0,64.0,27.0,15,20,7,0,0,Monsoon,113.33333333333333,,,,,
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2026-07-20 15:00:00,25.619651,85.147382,48.0,5.0,4.0,49.0,70.0,66.0,11.0,15,20,7,0,0,Monsoon,120.0,,,,,
